,generation,max_fitness,avg_fitness,max_lines_cleared
0,0.0,0.0,-19999999999.8,20.0
1,1.0,200.0,-19999999927.8,20.0
2,2.0,1100.0,-19999999547.8,20.0
3,3.0,200.0,-19999999959.8,20.0
